cell,config,quota_backend_bytes,status,outcome
cell060,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell061,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell062,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell063,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell064,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell065,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell066,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell067,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell068,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell069,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
